mensaje_limpio,incidente,area,coincidencias
Hubo me robaron hace poco en zona de parqueaderos.,robo,seguridad,2
Mensaje recibido: sospechoso en zona de carga.,persona sospechosa,seguridad,1
Varias personas mencionan actitud sospechosa afuera de Starbucks.,persona sospechosa,seguridad,1
"Alguien avisó de cables sueltos en patio de comidas, estaba está feo eso.",cableado suelto,mantenimiento,2
Mensaje recibido: inconsciente en planta baja.,inconsciencia,sso,1
"Reportan ruido en área bancaria, estaba pasando entre según dicen.",ruido excesivo,administracion,1
Varias personas mencionan escenario afuera de Valentina.,montaje de evento,mercadeo,1
"Reportan perdido en zona de carga, estaba pasando entre un guardia.",objeto perdido,seguridad,2
Hubo perdi documento hace poco en frente a Mega Kywi.,objeto perdido,seguridad,3
Varias personas mencionan traba afuera de Tony Roma's.,ascensor en falla,mantenimiento,1
Se genera alerta por ascensor en el sector de Tony Roma's.,ascensor en falla,mantenimiento,1
Un visitante dice que encontró no funciona ascensor cerca de De Prati.,ascensor en falla,mantenimiento,2
Guardias revisan caso de agresion fuera de Mega Kywi.,pelea,seguridad,1
Por radios informan decoracion en cerca de Cinemark.,montaje de evento,mercadeo,1
Visitantes informan herido cerca de baños del segundo piso.,emergencia medica,sso,1
Un colaborador menciona haber visto evento en cerca de Cinemark.,montaje de evento,mercadeo,1
Parece que hubo montaje afuera de Cinemark.,montaje de evento,mercadeo,1
Personal de limpieza vio resbale en zona coworking.,caida,sso,1
Hubo iluminacion hace poco en entrada principal.,iluminacion danada,mantenimiento,1
Varias personas mencionan no funciona ascensor afuera de Adidas Store.,ascensor en falla,mantenimiento,2
Personal de limpieza vio traba en zona coworking.,ascensor en falla,mantenimiento,1
"Alguien avisó de dolor fuerte en entrada principal, estaba parece que.",emergencia medica,sso,1
"Reportan vigilado en entrada principal, estaba pasando entre recién pasó.",persona sospechosa,seguridad,1
Un colaborador menciona haber visto vehiculo en junto a Tía.,vehiculo mal estacionado,seguridad,1
está feo eso comentó que vio se desmayo por zona de carga.,inconsciencia,sso,1
"Reportan desmontar en zona coworking, estaba pasando entre justito.",retiro material publicitario,mercadeo,1
Visitantes informan mal servicio cerca de pasillo central.,queja de cliente,recepcion,1
Un guardia indica que hubo promo en pasillo central.,publicidad,mercadeo,1
En área bancaria un cliente reporta ruido cerca de Pycca.,ruido excesivo,administracion,1
Por radios informan perdido en entrada principal.,objeto perdido,seguridad,2
Mensaje recibido: iluminacion en junto a Tía.,iluminacion danada,mantenimiento,1
Un colaborador menciona haber visto accidente en área bancaria.,caida,sso,1
Un colaborador menciona haber visto objeto perdido en cerca de Cinemark.,objeto perdido,seguridad,3
Parece que hubo desmontar afuera de McDonald's.,retiro material publicitario,mercadeo,1
Visitantes informan accidente escalera cerca de terraza.,caida,sso,3
Un colaborador menciona haber visto lastimado en segundo piso.,caida,sso,1
a cada rato comentó que vio sin luz por junto a las escaleras eléctricas.,accidente en escalera,sso,3
Un colaborador menciona haber visto escalera en segundo piso.,accidente en escalera,sso,1
Se genera alerta por forzaron en el sector de Isla de helados.,robo,seguridad,1
Personal de limpieza vio bloqueando en frente a Mega Kywi.,vehiculo mal estacionado,seguridad,1
Mensaje recibido: fuga en fuera de Pycca.,fuga de agua,mantenimiento,1
Varias personas mencionan publicidad afuera de Isla de helados.,publicidad,mercadeo,1
En fuera de Pycca un cliente reporta obstruyendo cerca de Pícaro Resto Grill.,vehiculo mal estacionado,seguridad,1
Parece que hubo inconsciente afuera de Pycca.,inconsciencia,sso,1
Varias personas mencionan remover afuera de Pícaro Resto Grill.,retiro material publicitario,mercadeo,1
"Reportan traba en zona de carga, estaba pasando entre parece que.",ascensor en falla,mantenimiento,1
Hubo conflicto hace poco en terraza.,pelea,seguridad,1
Notifican desde fuera de Pycca que ocurrió promo.,publicidad,mercadeo,1
Hubo perdido hace poco en baños del segundo piso.,objeto perdido,seguridad,2
Se observa perdi a la altura de junto a Tía.,objeto perdido,seguridad,1
Un cliente molesto dice que hubo expuesto cerca de KFC.,cableado suelto,mantenimiento,1
Parece que hubo desmontar afuera de De Prati.,retiro material publicitario,mercadeo,1
Un visitante dice que encontró forcejeo cerca de Starbucks.,pelea,seguridad,1
Por radios informan resbale en terraza.,caida,sso,1
"Reportan objeto perdido en frente a Mega Kywi, estaba pasando entre está feo eso.",objeto perdido,seguridad,3
Varias personas mencionan ruido afuera de Mi Comisariato.,ruido excesivo,administracion,1
Mensaje recibido: accidente escalera en planta baja.,caida,sso,3
Hubo accidente hace poco en terraza.,caida,sso,1
Un cliente molesto dice que hubo me robaron cerca de Pycca.,robo,seguridad,2
Un colaborador menciona haber visto carpeta en patio de comidas.,perdida de documentos,administracion,1
En piso 1 un cliente reporta caida cerca de Sweet & Coffee.,caida,sso,1
Notifican desde patio de comidas que ocurrió bloqueando.,vehiculo mal estacionado,seguridad,1
"Alguien avisó de estacionado en piso 1, estaba un guardia.",vehiculo mal estacionado,seguridad,1
En planta baja un cliente reporta violencia fisica cerca de KFC.,robo,seguridad,2
Un visitante dice que encontró atorado cerca de Starbucks.,ascensor en falla,mantenimiento,1
Por radios informan promocion en área infantil.,publicidad,mercadeo,2
Hubo goteo hace poco en patio de comidas.,fuga de agua,mantenimiento,1
Visitantes informan emergencia cerca de patio de comidas.,inconsciencia,sso,1
Por radios informan golpe en pasillo central.,caida,sso,1
Un visitante dice que encontró objeto perdido cerca de Movistar.,objeto perdido,seguridad,3
En piso 1 un cliente reporta resbalon cerca de Doña Menestra.,caida,sso,1
Un cliente molesto dice que hubo extraviado cerca de Starbucks.,objeto perdido,seguridad,1
En zona coworking un cliente reporta fuga cerca de Movistar.,fuga de agua,mantenimiento,1
Varias personas mencionan ayuda medica afuera de Coral Hipermercados.,emergencia medica,sso,1
Mensaje recibido: iluminacion en junto a Tía.,iluminacion danada,mantenimiento,1
full gente comentó que vio electricidad por terraza.,cableado suelto,mantenimiento,1
"Alguien avisó de evento en fuera de Pycca, estaba un man.",montaje de evento,mercadeo,1
Un cliente molesto dice que hubo agresion cerca de Marathon Sports.,pelea,seguridad,1
Se detecta algo relacionado con expuesto en terraza.,cableado suelto,mantenimiento,1
Visitantes informan accidente escalera cerca de segundo piso.,caida,sso,3
Un guardia indica que hubo no responde en cerca de Cinemark.,inconsciencia,sso,1
Guardias revisan caso de electricidad fuera de Adidas Store.,cableado suelto,mantenimiento,1
"Alguien avisó de elevador en entrada principal, estaba según dicen.",ascensor en falla,mantenimiento,1
Parece que hubo quitar publicidad afuera de Isla de helados.,publicidad,mercadeo,2
En zona de parqueaderos un cliente reporta agresion cerca de Marathon Sports.,pelea,seguridad,1
Varias personas mencionan molestia ruido afuera de Sweet & Coffee.,queja de cliente,recepcion,3
Varias personas mencionan mal servicio afuera de Movistar.,queja de cliente,recepcion,1
Visitantes informan mal parqueado cerca de planta baja.,vehiculo mal estacionado,seguridad,1
Visitantes informan hurto cerca de área infantil.,robo,seguridad,1
Varias personas mencionan atencion pesima afuera de Pícaro Resto Grill.,queja de cliente,recepcion,1
Guardias revisan caso de obstruyendo fuera de Doña Menestra.,vehiculo mal estacionado,seguridad,1
Varias personas mencionan quitar publicidad afuera de Pycca.,publicidad,mercadeo,2
Personal de limpieza vio no responde en entrada principal.,inconsciencia,sso,1
Por radios informan charco en zona de carga.,fuga de agua,mantenimiento,1
Hubo perdi documento hace poco en baños del segundo piso.,objeto perdido,seguridad,3
Guardias revisan caso de evento fuera de McDonald's.,montaje de evento,mercadeo,1
Notifican desde planta baja que ocurrió sin luz.,iluminacion danada,mantenimiento,2
Personal de limpieza vio luz en baños del segundo piso.,iluminacion danada,mantenimiento,1
recién pasó comentó que vio resbale por junto a Tía.,caida,sso,1
Un colaborador menciona haber visto charco en zona coworking.,fuga de agua,mantenimiento,1
Un colaborador menciona haber visto forzaron en zona de carga.,robo,seguridad,1
Personal de limpieza vio raro en área infantil.,persona sospechosa,seguridad,1
Un colaborador menciona haber visto bulla en baños del segundo piso.,ruido excesivo,administracion,1
Notifican desde área bancaria que ocurrió foco.,iluminacion danada,mantenimiento,1
Se genera alerta por accidente en el sector de Tony Roma's.,caida,sso,1
Varias personas mencionan fuga afuera de Movistar.,fuga de agua,mantenimiento,1
medio raro comentó que vio se me cayo por baños del segundo piso.,persona sospechosa,seguridad,2
Se genera alerta por recuperar en el sector de Adidas Store.,objeto perdido,seguridad,1
Por radios informan forzaron en terraza.,robo,seguridad,1
Por radios informan alto volumen en junto a Tía.,ruido excesivo,administracion,1
"Reportan sangre en cerca de Cinemark, estaba pasando entre a cada rato.",emergencia medica,sso,1
Un colaborador menciona haber visto auxilio en frente a Mega Kywi.,inconsciencia,sso,1
Hubo tropece hace poco en cerca de Cinemark.,caida,sso,1
Se observa montaje a la altura de segundo piso.,montaje de evento,mercadeo,1
Se detecta algo relacionado con papeles en piso 1.,perdida de documentos,administracion,1
Un guardia indica que hubo charco en terraza.,fuga de agua,mantenimiento,1
En cerca de Cinemark un cliente reporta tropece cerca de Marathon Sports.,caida,sso,1
Un guardia indica que hubo stand en fuera de Pycca.,montaje de evento,mercadeo,1
Visitantes informan estacionado cerca de área infantil.,vehiculo mal estacionado,seguridad,1
En frente a Mega Kywi un cliente reporta ambulancia cerca de Cinemark.,inconsciencia,sso,1
Mensaje recibido: atorado en terraza.,ascensor en falla,mantenimiento,1
Se observa electricidad a la altura de entrada principal.,cableado suelto,mantenimiento,1
Parece que hubo remover afuera de Pícaro Resto Grill.,retiro material publicitario,mercadeo,1
durísimo comentó que vio mojado por cerca de Cinemark.,fuga de agua,mantenimiento,1
Un visitante dice que encontró charco cerca de Marathon Sports.,fuga de agua,mantenimiento,1
"Reportan oscuridad en zona coworking, estaba pasando entre está feo eso.",iluminacion danada,mantenimiento,1
Un visitante dice que encontró montaje cerca de Tony Roma's.,montaje de evento,mercadeo,1
Parece que hubo mal parqueado afuera de Starbucks.,vehiculo mal estacionado,seguridad,1
Un visitante dice que encontró desmontar cerca de Starbucks.,retiro material publicitario,mercadeo,1
Notifican desde baños del segundo piso que ocurrió conflicto.,pelea,seguridad,1
Se genera alerta por oscuridad en el sector de McDonald's.,iluminacion danada,mantenimiento,1
Se genera alerta por atencion medica en el sector de Starbucks.,emergencia medica,sso,1
"Alguien avisó de iluminacion en terraza, estaba justito.",iluminacion danada,mantenimiento,1
Notifican desde planta baja que ocurrió perdi documento.,objeto perdido,seguridad,3
Mensaje recibido: corto circuito en frente a Mega Kywi.,cableado suelto,mantenimiento,1
Un visitante dice que encontró molestia ruido cerca de Mega Kywi.,queja de cliente,recepcion,3
Se observa sospechoso a la altura de zona de parqueaderos.,persona sospechosa,seguridad,1
Un colaborador menciona haber visto ruido en pasillo central.,ruido excesivo,administracion,1
Mensaje recibido: extraviado en zona de parqueaderos.,objeto perdido,seguridad,1
Se observa oscuridad a la altura de patio de comidas.,iluminacion danada,mantenimiento,1
Un visitante dice que encontró ladron cerca de Tía.,robo,seguridad,1
está feo eso comentó que vio quitar publicidad por área bancaria.,publicidad,mercadeo,2
Varias personas mencionan quitar publicidad afuera de Cinemark.,publicidad,mercadeo,2
Notifican desde piso 1 que ocurrió atorado.,ascensor en falla,mantenimiento,1
Un colaborador menciona haber visto ascensor en terraza.,ascensor en falla,mantenimiento,1
Un guardia indica que hubo escenario en fuera de Pycca.,montaje de evento,mercadeo,1
Visitantes informan documento cerca de área infantil.,perdida de documentos,administracion,1
Un visitante dice que encontró caida cerca de De Prati.,caida,sso,1
Personal de limpieza vio tropiezo escalera en zona coworking.,accidente en escalera,sso,2
Hubo quitar publicidad hace poco en pasillo central.,publicidad,mercadeo,2
Un colaborador menciona haber visto escalera en segundo piso.,accidente en escalera,sso,1
Un visitante dice que encontró cable cerca de Juan Valdez.,cableado suelto,mantenimiento,1
recién pasó comentó que vio desmontar por zona de carga.,retiro material publicitario,mercadeo,1
Se observa archivo a la altura de frente a Mega Kywi.,perdida de documentos,administracion,1
Notifican desde baños del segundo piso que ocurrió emergencia.,inconsciencia,sso,1
Guardias revisan caso de cable fuera de Marathon Sports.,cableado suelto,mantenimiento,1
Guardias revisan caso de accidente fuera de Sweet & Coffee.,caida,sso,1
Un guardia indica que hubo forcejeo en zona coworking.,pelea,seguridad,1
Parece que hubo perdi documento afuera de Doña Menestra.,objeto perdido,seguridad,3
Parece que hubo cables sueltos afuera de Adidas Store.,cableado suelto,mantenimiento,2
Parece que hubo se desmayo afuera de Adidas Store.,inconsciencia,sso,1
Un visitante dice que encontró quitar publicidad cerca de Starbucks.,publicidad,mercadeo,2
Por radios informan amenaza en piso 1.,robo,seguridad,1
Se detecta algo relacionado con ruido en baños del segundo piso.,ruido excesivo,administracion,1
Guardias revisan caso de insatisfecho fuera de KFC.,queja de cliente,recepcion,1
Un colaborador menciona haber visto expuesto en cerca de Cinemark.,cableado suelto,mantenimiento,1
Se observa stand a la altura de entrada principal.,montaje de evento,mercadeo,1
Visitantes informan montaje cerca de fuera de Pycca.,montaje de evento,mercadeo,1
Parece que hubo tuberia rota afuera de KFC.,fuga de agua,mantenimiento,1
Varias personas mencionan se cayo escalera afuera de Pycca.,accidente en escalera,sso,2
Un cliente molesto dice que hubo inconsciente cerca de Tony Roma's.,inconsciencia,sso,1
Visitantes informan escalera cerca de cerca de Cinemark.,accidente en escalera,sso,1
Un visitante dice que encontró stand cerca de Juan Valdez.,montaje de evento,mercadeo,1
"Reportan violencia en zona coworking, estaba pasando entre según dicen.",robo,seguridad,1
Por radios informan molestia ruido en patio de comidas.,queja de cliente,recepcion,3
Varias personas mencionan tuberia rota afuera de Movistar.,fuga de agua,mantenimiento,1
Mensaje recibido: tropiezo escalera en área bancaria.,accidente en escalera,sso,2
Por radios informan accidente escalera en zona coworking.,caida,sso,3
Se detecta algo relacionado con archivo en segundo piso.,perdida de documentos,administracion,1
Se detecta algo relacionado con fuga en piso 1.,fuga de agua,mantenimiento,1
Notifican desde zona de carga que ocurrió atencion pesima.,queja de cliente,recepcion,1
Varias personas mencionan pistola afuera de Tía.,robo,seguridad,1
En fuera de Pycca un cliente reporta perdido cerca de Pícaro Resto Grill.,objeto perdido,seguridad,2
Un cliente molesto dice que hubo luz cerca de Valentina.,iluminacion danada,mantenimiento,1
Por radios informan foco en junto a las escaleras eléctricas.,accidente en escalera,sso,2
Mensaje recibido: inundacion en junto a Tía.,fuga de agua,mantenimiento,1
"Reportan gritando en terraza, estaba pasando entre un chico.",pelea,seguridad,1
Se genera alerta por electricidad en el sector de De Prati.,cableado suelto,mantenimiento,1
En pasillo central un cliente reporta traba cerca de Isla de helados.,ascensor en falla,mantenimiento,1
En zona coworking un cliente reporta apagado cerca de Mi Comisariato.,iluminacion danada,mantenimiento,1
Personal de limpieza vio carpeta en pasillo central.,perdida de documentos,administracion,1
Visitantes informan evento cerca de zona coworking.,montaje de evento,mercadeo,1
Un guardia indica que hubo raro en cerca de Cinemark.,persona sospechosa,seguridad,1
"Reportan bulla en piso 1, estaba pasando entre recién pasó.",ruido excesivo,administracion,1
Personal de limpieza vio elevador en frente a Mega Kywi.,ascensor en falla,mantenimiento,1
Visitantes informan queja cerca de fuera de Pycca.,queja de cliente,recepcion,1
una señora comentó que vio molestia por área infantil.,queja de cliente,recepcion,1
Mensaje recibido: retirar en terraza.,retiro material publicitario,mercadeo,1
Un colaborador menciona haber visto accidente escalera en terraza.,caida,sso,3
Guardias revisan caso de desmontar fuera de Mi Comisariato.,retiro material publicitario,mercadeo,1
Se observa promocion a la altura de zona de parqueaderos.,publicidad,mercadeo,2
Visitantes informan promo cerca de área bancaria.,publicidad,mercadeo,1
Varias personas mencionan anuncio afuera de KFC.,publicidad,mercadeo,1
Se observa apagado a la altura de junto a Tía.,iluminacion danada,mantenimiento,1
Mensaje recibido: merodeando en piso 1.,persona sospechosa,seguridad,1
Se detecta algo relacionado con accidente escalera en zona de carga.,caida,sso,3
Un cliente molesto dice que hubo cables sueltos cerca de Pícaro Resto Grill.,cableado suelto,mantenimiento,2
Se genera alerta por objeto perdido en el sector de KFC.,objeto perdido,seguridad,3
Por radios informan agresion en área infantil.,pelea,seguridad,1
Un visitante dice que encontró stand cerca de McDonald's.,montaje de evento,mercadeo,1
"Reportan escenario en zona de carga, estaba pasando entre un guardia.",montaje de evento,mercadeo,1
Un guardia indica que hubo cables sueltos en zona de carga.,cableado suelto,mantenimiento,2
Guardias revisan caso de estacionado fuera de Tony Roma's.,vehiculo mal estacionado,seguridad,1
Mensaje recibido: electricidad en entrada principal.,cableado suelto,mantenimiento,1
Mensaje recibido: se me cayo en zona coworking.,objeto perdido,seguridad,1
parece que comentó que vio resbalon por junto a Tía.,caida,sso,1
"Alguien avisó de promocion en zona de parqueaderos, estaba un man.",publicidad,mercadeo,2
Notifican desde terraza que ocurrió vehiculo.,vehiculo mal estacionado,seguridad,1
Un colaborador menciona haber visto documento en segundo piso.,perdida de documentos,administracion,1
Un visitante dice que encontró hurto cerca de De Prati.,robo,seguridad,1
Un visitante dice que encontró retirar cerca de Tony Roma's.,retiro material publicitario,mercadeo,1
Hubo perdi documento hace poco en área infantil.,objeto perdido,seguridad,3
Visitantes informan molestia ruido cerca de terraza.,queja de cliente,recepcion,3
Personal de limpieza vio promocion en planta baja.,publicidad,mercadeo,2
"Alguien avisó de stand en zona de carga, estaba una señora.",montaje de evento,mercadeo,1
Personal de limpieza vio evento en baños del segundo piso.,montaje de evento,mercadeo,1
Un guardia indica que hubo accidente escalera en entrada principal.,caida,sso,3
Un cliente molesto dice que hubo decoracion cerca de Starbucks.,montaje de evento,mercadeo,1
En zona coworking un cliente reporta mal parqueado cerca de Tony Roma's.,vehiculo mal estacionado,seguridad,1
"Reportan caida en cerca de Cinemark, estaba pasando entre durísimo.",caida,sso,1
Se detecta algo relacionado con se cayo escalera en zona coworking.,accidente en escalera,sso,2
Se genera alerta por amenaza en el sector de Marathon Sports.,robo,seguridad,1
Se detecta algo relacionado con atorado en piso 1.,ascensor en falla,mantenimiento,1
Se detecta algo relacionado con traba en área infantil.,ascensor en falla,mantenimiento,1
Personal de limpieza vio remover en patio de comidas.,retiro material publicitario,mercadeo,1
Se detecta algo relacionado con carterazo en piso 1.,robo,seguridad,1
Guardias revisan caso de promo fuera de Tía.,publicidad,mercadeo,1
Se observa promocion a la altura de patio de comidas.,publicidad,mercadeo,2
Hubo accidente escalera hace poco en cerca de Cinemark.,caida,sso,3
Se observa sin luz a la altura de área infantil.,iluminacion danada,mantenimiento,2
En frente a Mega Kywi un cliente reporta escalera cerca de Claro.,accidente en escalera,sso,1
Por radios informan publicidad en terraza.,publicidad,mercadeo,1
justito comentó que vio agua por área infantil.,fuga de agua,mantenimiento,1
Notifican desde segundo piso que ocurrió anuncio.,publicidad,mercadeo,1
Se genera alerta por stand en el sector de Cinemark.,montaje de evento,mercadeo,1
Un guardia indica que hubo merodeando en zona de parqueaderos.,persona sospechosa,seguridad,1
Parece que hubo auxilio afuera de Juan Valdez.,inconsciencia,sso,1
"Alguien avisó de apagado en terraza, estaba durísimo.",iluminacion danada,mantenimiento,1
Se detecta algo relacionado con cables sueltos en pasillo central.,cableado suelto,mantenimiento,2
En baños del segundo piso un cliente reporta emergencia cerca de Marathon Sports.,inconsciencia,sso,1
"Alguien avisó de emergencia en pasillo central, estaba parece que.",inconsciencia,sso,1
Se detecta algo relacionado con atencion medica en zona de parqueaderos.,emergencia medica,sso,1
Un visitante dice que encontró accidente cerca de Pícaro Resto Grill.,caida,sso,1
Un colaborador menciona haber visto golpe en entrada principal.,caida,sso,1
Notifican desde piso 1 que ocurrió accidente escalera.,caida,sso,3
Notifican desde zona coworking que ocurrió conflicto.,pelea,seguridad,1
Un cliente molesto dice que hubo dolor fuerte cerca de Isla de helados.,emergencia medica,sso,1
Por radios informan pistola en área bancaria.,robo,seguridad,1
Hubo molestia ruido hace poco en área bancaria.,queja de cliente,recepcion,3
Parece que hubo perdi afuera de Pycca.,objeto perdido,seguridad,1
Un visitante dice que encontró robado cerca de Adidas Store.,robo,seguridad,1
"Reportan quitar publicidad en junto a las escaleras eléctricas, estaba pasando entre como que.",accidente en escalera,sso,3
parece que comentó que vio vigilado por segundo piso.,persona sospechosa,seguridad,1
Se observa electricidad a la altura de zona coworking.,cableado suelto,mantenimiento,1
Se detecta algo relacionado con lastimado en terraza.,caida,sso,1
Un visitante dice que encontró urgencia cerca de Mi Comisariato.,emergencia medica,sso,1
Visitantes informan no responde cerca de pasillo central.,inconsciencia,sso,1
Un colaborador menciona haber visto corto circuito en frente a Mega Kywi.,cableado suelto,mantenimiento,1
En área bancaria un cliente reporta se me cayo cerca de Coral Hipermercados.,objeto perdido,seguridad,1
En entrada principal un cliente reporta flyer cerca de Mi Comisariato.,publicidad,mercadeo,1
Parece que hubo tropiezo escalera afuera de Claro.,accidente en escalera,sso,2
En junto a las escaleras eléctricas un cliente reporta papeles cerca de Starbucks.,accidente en escalera,sso,2
Notifican desde segundo piso que ocurrió perdi documento.,objeto perdido,seguridad,3
Notifican desde segundo piso que ocurrió tuberia rota.,fuga de agua,mantenimiento,1
Guardias revisan caso de ascensor fuera de Mi Comisariato.,ascensor en falla,mantenimiento,1
Guardias revisan caso de bulla fuera de KFC.,ruido excesivo,administracion,1
Un colaborador menciona haber visto golpe en piso 1.,caida,sso,1
Notifican desde entrada principal que ocurrió ladron.,robo,seguridad,1
Un visitante dice que encontró vehiculo cerca de Adidas Store.,vehiculo mal estacionado,seguridad,1
"Alguien avisó de emergencia en planta baja, estaba un guardia.",inconsciencia,sso,1
Guardias revisan caso de publicidad fuera de Claro.,publicidad,mercadeo,1
Un visitante dice que encontró recuperar cerca de Pícaro Resto Grill.,objeto perdido,seguridad,1
Varias personas mencionan papeles afuera de Doña Menestra.,perdida de documentos,administracion,1
Guardias revisan caso de quitar publicidad fuera de Coral Hipermercados.,publicidad,mercadeo,2
una señora comentó que vio desmontar por junto a Tía.,retiro material publicitario,mercadeo,1
Un cliente molesto dice que hubo amenazas cerca de Isla de helados.,robo,seguridad,2
Visitantes informan remover cerca de baños del segundo piso.,retiro material publicitario,mercadeo,1
"Alguien avisó de auxilio en patio de comidas, estaba una señora.",inconsciencia,sso,1
Se genera alerta por perdi en el sector de Marathon Sports.,objeto perdido,seguridad,1
Por radios informan desmayado en segundo piso.,inconsciencia,sso,1
Mensaje recibido: escenario en baños del segundo piso.,montaje de evento,mercadeo,1
Se observa agua a la altura de fuera de Pycca.,fuga de agua,mantenimiento,1
Por radios informan molestia ruido en baños del segundo piso.,queja de cliente,recepcion,3
durísimo comentó que vio comportamiento extrano por pasillo central.,persona sospechosa,seguridad,1
Se observa corto circuito a la altura de patio de comidas.,cableado suelto,mantenimiento,1
En entrada principal un cliente reporta atencion medica cerca de Marathon Sports.,emergencia medica,sso,1
Un colaborador menciona haber visto parpadeando en planta baja.,iluminacion danada,mantenimiento,1
Hubo atencion medica hace poco en zona de parqueaderos.,emergencia medica,sso,1
Parece que hubo montaje afuera de Cinemark.,montaje de evento,mercadeo,1
Un visitante dice que encontró documento cerca de Movistar.,perdida de documentos,administracion,1
Se genera alerta por sospechoso en el sector de Juan Valdez.,persona sospechosa,seguridad,1
Mensaje recibido: resbale en zona de carga.,caida,sso,1
En zona de parqueaderos un cliente reporta me robaron cerca de Sweet & Coffee.,robo,seguridad,2
Varias personas mencionan vigilado afuera de KFC.,persona sospechosa,seguridad,1
Se observa anuncio a la altura de patio de comidas.,publicidad,mercadeo,1
Notifican desde baños del segundo piso que ocurrió tropece.,caida,sso,1
Varias personas mencionan expuesto afuera de Mi Comisariato.,cableado suelto,mantenimiento,1
Guardias revisan caso de robo fuera de Pícaro Resto Grill.,robo,seguridad,1
En zona de carga un cliente reporta decoracion cerca de Juan Valdez.,montaje de evento,mercadeo,1
Se observa urgencia a la altura de área infantil.,emergencia medica,sso,1
Personal de limpieza vio urgencia en área infantil.,emergencia medica,sso,1
Se genera alerta por papeles en el sector de Juan Valdez.,perdida de documentos,administracion,1
Guardias revisan caso de robado fuera de KFC.,robo,seguridad,1
Mensaje recibido: ascensor en baños del segundo piso.,ascensor en falla,mantenimiento,1
Hubo caida hace poco en pasillo central.,caida,sso,1
Visitantes informan rina cerca de cerca de Cinemark.,pelea,seguridad,1
Por radios informan retirar en área infantil.,retiro material publicitario,mercadeo,1
Por radios informan documento en terraza.,perdida de documentos,administracion,1
Mensaje recibido: arma en planta baja.,robo,seguridad,1
Un colaborador menciona haber visto quitar publicidad en baños del segundo piso.,publicidad,mercadeo,2
"Alguien avisó de herido en fuera de Pycca, estaba una señora.",emergencia medica,sso,1
durísimo comentó que vio documento por área infantil.,perdida de documentos,administracion,1
Mensaje recibido: accidente escalera en junto a las escaleras eléctricas.,caida,sso,3
Guardias revisan caso de reclamo fuera de Starbucks.,queja de cliente,recepcion,1
recién pasó comentó que vio golpe por planta baja.,caida,sso,1
Un colaborador menciona haber visto comportamiento extrano en terraza.,persona sospechosa,seguridad,1
Parece que hubo papeles afuera de KFC.,perdida de documentos,administracion,1
Se observa bulla a la altura de terraza.,ruido excesivo,administracion,1
Mensaje recibido: mal parqueado en fuera de Pycca.,vehiculo mal estacionado,seguridad,1
Se observa no responde a la altura de piso 1.,inconsciencia,sso,1
Se observa ambulancia a la altura de junto a las escaleras eléctricas.,inconsciencia,sso,2
Un visitante dice que encontró desmontar cerca de Isla de helados.,retiro material publicitario,mercadeo,1
Visitantes informan perdi documento cerca de zona de carga.,objeto perdido,seguridad,3
"Reportan conflicto en pasillo central, estaba pasando entre está feo eso.",pelea,seguridad,1
Se detecta algo relacionado con quejar en fuera de Pycca.,queja de cliente,recepcion,2
Visitantes informan insatisfecho cerca de junto a Tía.,queja de cliente,recepcion,1
"Alguien avisó de goteo en baños del segundo piso, estaba durísimo.",fuga de agua,mantenimiento,1
"Alguien avisó de amenaza en terraza, estaba una señora.",robo,seguridad,1
Mensaje recibido: inundacion en piso 1.,fuga de agua,mantenimiento,1
Varias personas mencionan obstruyendo afuera de Adidas Store.,vehiculo mal estacionado,seguridad,1
Varias personas mencionan inconsciente afuera de Mega Kywi.,inconsciencia,sso,1
como que comentó que vio traba por planta baja.,ascensor en falla,mantenimiento,1
"Reportan evento en segundo piso, estaba pasando entre como que.",montaje de evento,mercadeo,1
está feo eso comentó que vio escenario por junto a Tía.,montaje de evento,mercadeo,1
Visitantes informan obstruyendo cerca de piso 1.,vehiculo mal estacionado,seguridad,1
Mensaje recibido: se llevaron en planta baja.,robo,seguridad,1
una señora comentó que vio electricidad por patio de comidas.,cableado suelto,mantenimiento,1
Personal de limpieza vio promo en cerca de Cinemark.,publicidad,mercadeo,1
Visitantes informan elevador cerca de junto a las escaleras eléctricas.,accidente en escalera,sso,2
Mensaje recibido: no funciona ascensor en área infantil.,ascensor en falla,mantenimiento,2
Un visitante dice que encontró se me cayo cerca de Sweet & Coffee.,objeto perdido,seguridad,1
Un cliente molesto dice que hubo remover cerca de Mega Kywi.,retiro material publicitario,mercadeo,1
Un colaborador menciona haber visto archivo en baños del segundo piso.,perdida de documentos,administracion,1
Un guardia indica que hubo mal parqueado en junto a las escaleras eléctricas.,accidente en escalera,sso,2
Visitantes informan vehiculo cerca de junto a las escaleras eléctricas.,accidente en escalera,sso,2
Parece que hubo atencion pesima afuera de Pícaro Resto Grill.,queja de cliente,recepcion,1
Hubo luz hace poco en zona de parqueaderos.,iluminacion danada,mantenimiento,1
un guardia comentó que vio bloqueando por área infantil.,vehiculo mal estacionado,seguridad,1
Visitantes informan bloqueando cerca de pasillo central.,vehiculo mal estacionado,seguridad,1
Se observa no responde a la altura de zona de parqueaderos.,inconsciencia,sso,1
Personal de limpieza vio extraviado en área infantil.,objeto perdido,seguridad,1
Un cliente molesto dice que hubo auxilio cerca de Claro.,inconsciencia,sso,1
un chico comentó que vio conflicto por cerca de Cinemark.,pelea,seguridad,1
